iter	Passed	Remaining
402	13978	3364
403	14017	3330
404	14051	3296
405	14086	3261
406	14121	3226
407	14158	3192
408	14192	3157
409	14226	3122
410	14260	3087
411	14293	3053
412	14327	3018
413	14360	2983
414	14394	2948
415	14427	2913
416	14462	2878
417	14498	2844
418	14531	2809
419	14568	2774
420	14601	2739
421	14636	2705
422	14669	2670
423	14703	2635
424	14737	2600
425	14771	2565
426	14805	2531
427	14839	2496
428	14872	2461
429	14906	2426
430	14940	2391
431	14974	2357
432	15007	2322
433	15040	2287
434	15073	2252
435	15106	2217
436	15139	2182
437	15174	2147
438	15209	2113
439	15242	2078
440	15276	2043
441	15308	2008
442	15341	1973
443	15375	1939
444	15409	1904
445	15442	1869
446	15474	1834
447	15507	1799
448	15540	1765
449	15574	1730
450	15608	1695
451	15641	1661
452	15675	1626
453	15707	1591
454	15739	1556
455	15773	1522
456	15806	1487
457	15841	1452
458	15876	1418
459	15909	1383
460	15941	1348
461	15973	1313
462	16006	1279
463	16040	1244
464	16074	1209
465	16107	1175
466	16140	1140
467	16176	1106
468	16210	1071
469	16243	1036
470	16276	1002
471	16308	967
472	16341	932
473	16375	898
474	16408	863
475	16441	828
476	16473	794
477	16506	759
478	16541	725
479	16574	690
480	16607	656
481	16639	621
482	16672	586
483	16706	552
484	16739	517
485	16772	483
486	16807	448
487	16840	414
488	16873	379
489	16907	345
490	16941	310
491	16974	276
492	17007	241
493	17039	206
494	17072	172
495	17106	137
496	17139	103
497	17173	68
498	17207	34
499	17240	0
